"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010720","positive regulation of cell development","28/331","384/11041",0.0729166666666667,2.4322444612286,5.02191177653008,1.25184503033825e-05,0.000813850094422313,0.000813850094422313,"Sema4d/Il1b/Tp73/Dlk1/Tyrobp/Tlr2/Tenm4/Csf1r/Cx3cr1/Shb/Ptprc/Dll3/Plag1/Nckap1l/Rnd2/Hcls1/Tesc/Inpp5d/Spi1/Tnfrsf1b/Apoe/Smarcd3/Tiam2/Mdk/Dscam/Dusp10/Kit/Ror2",28
"GO:0001501","skeletal system development","28/331","397/11041",0.0705289672544081,2.35259917660399,4.82520464607558,2.30628260053082e-05,0.00125704049620852,0.00125704049620852,"Sema4d/Tgfbr1/Dlk1/Ccser1/Cited2/Tyrobp/Med12/Pappa2/Akap13/Six4/Ptprc/Dll3/Col2a1/Fgfr2/Dhrs3/Nfia/Nfib/Lgals3/Cfh/Tifab/Acvr2b/Cdkn1c/Fbn2/Dll4/Mdk/Col9a1/Lrrc17/Ror2",28
"GO:0010001","glial cell differentiation","21/331","258/11041",0.0813953488372093,2.71506358462727,4.90031586075686,3.20311499072977e-05,0.00158568885229154,0.00158568885229154,"Il1b/Tp73/C1qa/Cntnap2/Tlr2/Tenm4/Csf1r/Med12/Dll3/Kcnq3/Nfia/Nfib/Cfh/Tnfrsf1b/Apoe/Mdk/Dusp10/Cntn2/Eomes/Adora2a/Ror2",21
"GO:0001909","leukocyte mediated cytotoxicity","10/331","72/11041",0.138888888888889,4.63284659281638,5.43667769242089,5.26542606808293e-05,0.00236768658861462,0.00236768658861462,"Tyrobp/Cx3cr1/Stxbp2/Ptprc/Nckap1l/Inpp5d/Spi1/Ncf1/Ptpn6/RT1-N2",10
"GO:0150146","cell junction disassembly","7/331","34/11041",0.205882352941176,6.86751377288075,6.02369385146721,5.46755730257275e-05,0.00237741603891678,0.00237741603891678,"Il1b/Tgfbr1/C1qa/Cx3cr1/C1qc/C1qb/C3",7
"GO:0045088","regulation of innate immune response","23/331","312/11041",0.0737179487179487,2.458972422341,4.5956670322806,6.42853064038642e-05,0.00273136624689174,0.00273136624689174,"Myo1f/Tyrobp/Tlr2/Alpk1/Cd300a/Cfp/Fam3a/Cfh/Pld4/Tifab/Inpp5d/Spi1/Apoe/Dusp10/Inava/Unc93b1/Tlr3/C3/Ncf1/Ptpn6/Oasl/Irf3/Acod1",23
"GO:0019221","cytokine-mediated signaling pathway","21/331","271/11041",0.0774907749077491,2.58482068204368,4.64366329426814,6.5748443428695e-05,0.00274355018138665,0.00274355018138665,"Il1b/Il10rb/St18/Csf1r/Cx3cr1/Fcer1g/Ptprc/Hcls1/Duox2/Spi1/Tnfrsf1b/Ezr/Ackr3/Laptm5/Ccl6/Kit/Csf2rb/Crebrf/Oasl/Irf3/Gab1",21
"GO:0050727","regulation of inflammatory response","19/331","231/11041",0.0822510822510823,2.74360785236918,4.70810085274686,6.61652083208025e-05,0.00274355018138665,0.00274355018138665,"Il1b/Akna/Tlr2/Csf1r/Ctss/Fcer1g/Gna14/Tnfaip8l2/Tnfrsf1b/Apoe/Mdk/Dusp10/Tlr3/C3/Ncf1/Ptpn6/Adora2a/Irf3/Acod1",19
"GO:0022407","regulation of cell-cell adhesion","22/331","293/11041",0.0750853242320819,2.50458327748162,4.58870364245834,7.07034937354951e-05,0.00284713471788606,0.00284713471788606,"Il1b/Itgal/Cited2/Akna/Ptafr/Cd300a/Shb/Ptprc/Nckap1l/Gpnmb/Lgals3/Tnfaip8l2/Spi1/Mdk/Laptm5/Dusp10/Adamts18/Fermt3/Itgb2/Ptpn6/Adora2a/Aif1",22
"GO:0043410","positive regulation of MAPK cascade","24/331","347/11041",0.069164265129683,2.30707749636505,4.34910390184266,0.000121097783105277,0.00447494967927254,0.00447494967927254,"Il1b/Tp73/Fgd2/Tlr2/Csf1r/Akap13/Ptprc/Fgfr2/Dcc/Gpnmb/Spi1/Rasgrf1/Apoe/Ackr3/Laptm5/Inava/Tlr3/Kit/Abca7/C3/Adora2a/Ror2/Gab1/Fzd7",24
"GO:0031341","regulation of cell killing","8/331","51/11041",0.156862745098039,5.23239144600438,5.32568981281273,0.000123906444294703,0.00451756198252851,0.00451756198252851,"Tyrobp/Cx3cr1/Ptprc/Nckap1l/Cfh/Inpp5d/Spi1/RT1-N2",8
"GO:0060099","regulation of phagocytosis, engulfment","4/331","10/11041",0.4,13.3425981873112,6.86440575366981,0.000144369949242179,0.00515907447755495,0.00515907447755495,"Cd300a/Nckap1l/Abca7/C3",4
"GO:0007186","G protein-coupled receptor signaling pathway","28/331","447/11041",0.0626398210290828,2.08944490629034,4.13364187517894,0.000182184947697859,0.00634238695340416,0.00634238695340416,"Ptafr/Gpr153/P2ry12/Cx3cr1/Akap13/Chga/Gna14/Rac2/Rgs13/Gprc5c/Apoe/Ezr/Ackr3/Ccl6/Sstr2/Gpr84/Cntn2/Rgs8/Gnb3/Abca1/C3ar1/C3/Adgre1/Lpar4/Adora2a/Homer3/Atp2b4/Fzd7",28
"GO:0002367","cytokine production involved in immune response","8/331","54/11041",0.148148148148148,4.94170303233747,5.10440372911018,0.000187254329763845,0.00639461222834777,0.00639461222834777,"Il1b/Tlr2/Fcer1g/Tnfrsf1b/Laptm5/Inava/Tlr3/Kit",8
"GO:0002718","regulation of cytokine production involved in immune response","8/331","54/11041",0.148148148148148,4.94170303233747,5.10440372911018,0.000187254329763845,0.00639461222834777,0.00639461222834777,"Il1b/Tlr2/Fcer1g/Tnfrsf1b/Laptm5/Inava/Tlr3/Kit",8
"GO:0001910","regulation of leukocyte mediated cytotoxicity","7/331","41/11041",0.170731707317073,5.69501142141331,5.2946351321354,0.000190824766820836,0.00639461222834777,0.00639461222834777,"Tyrobp/Cx3cr1/Ptprc/Nckap1l/Inpp5d/Spi1/RT1-N2",7
"GO:1905153","regulation of membrane invagination","4/331","11/11041",0.363636363636364,12.1296347157374,6.49222100095319,0.000221520507562272,0.00715763268746121,0.00715763268746121,"Cd300a/Nckap1l/Abca7/C3",4
"GO:0071216","cellular response to biotic stimulus","16/331","194/11041",0.0824742268041237,2.75105117264148,4.32562315281554,0.000240254149709176,0.00762594936371007,0.00762594936371007,"Il1b/Ptafr/Tlr2/Cd68/Cx3cr1/Irf8/Cfh/Tifab/Spi1/Tnfrsf1b/Igfbpl1/Abca1/Ptpn6/Irf3/Acod1/Aif1",16
"GO:0002269","leukocyte activation involved in inflammatory response","6/331","31/11041",0.193548387096774,6.45609589708605,5.34777320072731,0.00027088343475239,0.0084005000800224,0.0084005000800224,"C1qa/Tyrobp/Tlr2/Csf1r/Cx3cr1/Tlr3",6
"GO:0002262","myeloid cell homeostasis","14/331","158/11041",0.0886075949367089,2.95563883896134,4.35257918485919,0.000280464388167434,0.00864791907743699,0.00864791907743699,"Hbe1/Cited2/Csf1r/Fcer1g/Rac2/Nckap1l/Hcls1/Cfh/Inpp5d/Spi1/Hba-a1/Mims2/Kit/Alas2",14
"GO:0043405","regulation of MAP kinase activity","10/331","88/11041",0.113636363636364,3.79051084866795,4.62021627567179,0.000290193145652786,0.00888869059003818,0.00888869059003818,"Il1b/Fgd2/Cd300a/Akap13/Ptprc/Dusp10/Kit/Ptpn6/Ror2/Gab1",10
"GO:0043303","mast cell degranulation","6/331","32/11041",0.1875,6.25434290030211,5.23266899239322,0.000325082887452674,0.00963817176205839,0.00963817176205839,"Cd300a/Fcer1g/Stxbp2/Chga/Rac2/Kit",6
"GO:0002831","regulation of response to biotic stimulus","24/331","372/11041",0.0645161290322581,2.15203196569535,3.9735432117061,0.000343736036853239,0.0100804329068482,0.0100804329068482,"Il1b/Myo1f/Tyrobp/Tlr2/Alpk1/Cd300a/Cfp/Fam3a/Cfh/Pld4/Tifab/Inpp5d/Spi1/Apoe/Dusp10/Inava/Unc93b1/Tlr3/C3/Ncf1/Ptpn6/Oasl/Irf3/Acod1",24
"GO:0045687","positive regulation of glial cell differentiation","7/331","45/11041",0.155555555555556,5.18878818395435,4.94972521039769,0.000347580774559207,0.0101157755600416,0.0101157755600416,"Il1b/Tp73/Tlr2/Tenm4/Csf1r/Tnfrsf1b/Mdk",7
"GO:0045165","cell fate commitment","14/331","162/11041",0.0864197530864197,2.88266010219686,4.24364197114782,0.000362840409185175,0.0104142917444851,0.0104142917444851,"Tgfbr1/Tenm4/Dmrt3/Dll3/Fgfr2/Nfia/Nfib/Dll4/Neurod1/Neurog2/Eomes/Ror2/Nr2f2/Fzd7",14
"GO:0070371","ERK1 and ERK2 cascade","17/331","223/11041",0.0762331838565022,2.54287185184182,4.09178303129375,0.000392583850925523,0.0112083728020853,0.0112083728020853,"Il1b/Cntnap2/Tlr2/Csf1r/Ptprc/Fgfr2/Dcc/Gpnmb/Dusp4/Apoe/Ezr/Ackr3/Dusp10/Abca7/C3/Ptpn6/Adora2a",17
"GO:0071827","plasma lipoprotein particle organization","5/331","22/11041",0.227272727272727,7.5810216973359,5.43171994143148,0.000406255534623358,0.0114772506011918,0.0114772506011918,"Pla2g7/Pltp/Apoe/Abca1/Abca7",5
"GO:0051048","negative regulation of secretion","13/331","148/11041",0.0878378378378378,2.92996243978117,4.15537058390122,0.000500294486413171,0.0134979452434274,0.0134979452434274,"Il1b/Cd300a/Ptgs1/P2ry12/Pde1c/Chga/Nckap1l/Tifab/Spi1/Tnfrsf1b/Apoe/Sstr2/Rab11fip1",13
"GO:0048598","embryonic morphogenesis","27/331","454/11041",0.0594713656387665,1.98375633842182,3.76298781155789,0.000538114666545286,0.0143500170874158,0.0143500170874158,"Dact1/Tgfbr1/Rspo3/Cited2/Tenm4/Med12/Six4/Col2a1/Fgfr2/Itga7/Dusp4/Tifab/Acvr2b/Cdkn1c/Fbn2/Dll4/Neurod1/Eomes/Sp9/Cc2d2a/Itgb2/Pdzd7/Tgif1/Ror2/Cecr2/Reck/Fzd7",27
"GO:0043406","positive regulation of MAP kinase activity","7/331","51/11041",0.137254901960784,4.57834251525384,4.50268896990448,0.000760407400787981,0.0191065912973933,0.0191065912973933,"Il1b/Fgd2/Akap13/Ptprc/Kit/Ror2/Gab1",7
"GO:0034377","plasma lipoprotein particle assembly","4/331","15/11041",0.266666666666667,8.89506545820745,5.37893342096907,0.000833116057092193,0.0206215332296765,0.0206215332296765,"Pltp/Apoe/Abca1/Abca7",4
"GO:0055094","response to lipoprotein particle","5/331","26/11041",0.192307692307692,6.41471066697653,4.85929736585346,0.000919662916298639,0.0219579694528648,0.0219579694528648,"Cd68/Cdh13/Fcer1g/Apoe/Itgb2",5
"GO:0035265","organ growth","13/331","158/11041",0.0822784810126582,2.74452177903553,3.88270524786488,0.000927861749726574,0.0220561321653066,0.0220561321653066,"Tp73/Tgfbr1/Cited2/Tenm4/Csf1r/Akap13/Col2a1/Fgfr2/Plag1/Acvr2b/Sorbs2/Kit/Col9a1",13
"GO:0045428","regulation of nitric oxide biosynthetic process","7/331","54/11041",0.12962962962963,4.32399015329529,4.30448148802939,0.00107729917496953,0.0250741481025382,0.0250741481025382,"Il1b/Tlr2/Cx3cr1/Apoe/Itgb2/Atp2b4/Aif1",7
"GO:0032291","axon ensheathment in central nervous system","5/331","27/11041",0.185185185185185,6.17712879042184,4.73480516998031,0.00110129227210926,0.0250741481025382,0.0250741481025382,"Cntnap2/Tlr2/Tenm4/Cfh/Cntn2",5
"GO:0042554","superoxide anion generation","5/331","27/11041",0.185185185185185,6.17712879042184,4.73480516998031,0.00110129227210926,0.0250741481025382,0.0250741481025382,"Tyrobp/Rac2/Duox2/Ncf1/Itgb2",5
"GO:0008360","regulation of cell shape","10/331","105/11041",0.0952380952380952,3.17680909221695,3.93993937884344,0.00118470784128418,0.0266361812982059,0.0266361812982059,"Sema4d/Hck/Csf1r/Parvg/Rac2/Itga7/Ezr/Kit/Popdc1/Rhog",10
"GO:0080164","regulation of nitric oxide metabolic process","7/331","57/11041",0.12280701754386,4.09641172417448,4.12021299073964,0.00148965454431411,0.0329433439390121,0.0329433439390121,"Il1b/Tlr2/Cx3cr1/Apoe/Itgb2/Atp2b4/Aif1",7
"GO:0001937","negative regulation of endothelial cell proliferation","5/331","29/11041",0.172413793103448,5.75111990832378,4.5036609396547,0.00154244338143696,0.0338334328708691,0.0338334328708691,"Tgfbr1/Dlk1/Apoe/Dll4/Nr2f2",5
"GO:0010875","positive regulation of cholesterol efflux","4/331","18/11041",0.222222222222222,7.41255454850621,4.78653478599457,0.00173943681223469,0.0368078472110525,0.0368078472110525,"Pltp/Apoe/Abca1/Abca7",4
"GO:0045730","respiratory burst","4/331","18/11041",0.222222222222222,7.41255454850621,4.78653478599457,0.00173943681223469,0.0368078472110525,0.0368078472110525,"Rac2/Slc11a1/Dusp10/Ncf1",4
"GO:0065005","protein-lipid complex assembly","4/331","18/11041",0.222222222222222,7.41255454850621,4.78653478599457,0.00173943681223469,0.0368078472110525,0.0368078472110525,"Pltp/Apoe/Abca1/Abca7",4
"GO:0050868","negative regulation of T cell activation","8/331","75/11041",0.106666666666667,3.55802618328298,3.90764673055905,0.00176183000243872,0.0371360730201536,0.0371360730201536,"Cd300a/Gpnmb/Lgals3/Tnfaip8l2/Mdk/Laptm5/Ptpn6/Adora2a",8
"GO:0097242","amyloid-beta clearance","5/331","30/11041",0.166666666666667,5.55941591137966,4.39602602364303,0.00180612342386607,0.0377745813766717,0.0377745813766717,"Tyrobp/Apoe/Abca7/C3/Itgb2",5
"GO:0002819","regulation of adaptive immune response","10/331","112/11041",0.0892857142857143,2.97825852395339,3.69918151503163,0.00193352311127507,0.0393709083337369,0.0393709083337369,"Il1b/Fcer1g/Ptprc/Nckap1l/Slc11a1/Tnfrsf1b/Dusp10/C3/Ptpn6/RT1-N2",10
"GO:0071402","cellular response to lipoprotein particle stimulus","5/331","31/11041",0.161290322580645,5.38007991423838,4.29311992021949,0.00210136188331101,0.0419552403001697,0.0419552403001697,"Cd68/Cdh13/Fcer1g/Apoe/Itgb2",5
"GO:0034341","response to type II interferon","9/331","95/11041",0.0947368421052632,3.16008904436317,3.71714526173011,0.002141315542021,0.0423243174532796,0.0423243174532796,"Tlr2/Stxbp2/Irf8/Cfh/Slc11a1/Tlr3/Cldn1/Acod1/Aif1",9
"GO:0033627","cell adhesion mediated by integrin","7/331","61/11041",0.114754098360656,3.82779456193354,3.89327786465562,0.0022198181236651,0.0436563265102042,0.0436563265102042,"Itgal/P2ry12/Nckap1l/Tesc/Fermt3/Itgb2/Ptpn6",7
"GO:0015850","organic hydroxy compound transport","14/331","197/11041",0.0710659898477157,2.37051236830402,3.41212643979937,0.00243769931833218,0.0465129117424439,0.0465129117424439,"Cd300a/Ptgs1/P2ry12/Fcer1g/Chga/Stra6l/Lgals3/Npc2/Pltp/Apoe/Abca1/Abca7/Adora2a/Selenom",14
"GO:0030168","platelet activation","7/331","62/11041",0.112903225806452,3.76605593996686,3.83954011406299,0.0024394280991682,0.0465129117424439,0.0465129117424439,"P2ry12/Fcer1g/Cfh/Apoe/Adamts18/Fermt3/Ptpn6",7
"GO:0019722","calcium-mediated signaling","12/331","156/11041",0.0769230769230769,2.56588426679061,3.46267348351835,0.00255310278101763,0.0483387459872671,0.0483387459872671,"Itgal/Cdh13/P2ry12/Cx3cr1/Ptprc/Hpca/Neurod2/Ackr3/Nfam1/C3ar1/Homer3/Atp2b4",12
"GO:0051043","regulation of membrane protein ectodomain proteolysis","4/331","20/11041",0.2,6.67129909365559,4.46262964978844,0.00262690134882107,0.0493894065443851,0.0493894065443851,"Il1b/Tnfrsf1b/Apoe/Tspan15",4
