"gene","R1_T0","R1_T5","R1_T15","R2_T0","R2_T5","R2_T15","R3_T0","R3_T5","R3_T15"
"Dcc",2632.8,2835.2,2232.7,2421,3107.1,2539.5,2502.1,3898.9,3245.9
"Cntn2",14562.2,15403.9,13075.4,13330.4,15953.6,14293.7,14267.8,19209.2,16062
"Nrp2",2396.7,2514.5,2214.8,2108.8,2292.4,2170.8,2625.3,3224.9,2840.9
"Nrp1",6070.8,6378.1,5758.1,5478.1,6198.6,5685.1,6545.2,7368.9,6409.5
"Rac1",15351.1,15929.5,15588.1,14727.8,16261.3,15393.6,14909.1,16093.8,16042.9
"Mycbp2",7807,8883.2,7462.9,6830.6,9288.3,9077.4,7141.8,15041.8,10837.7
"Plxna4",5429.4,5622.8,4584.8,4772.7,6387.1,5546.9,4920.4,9407.5,6878.5
"Nova2",3962.5,4177.3,3508.2,3423.4,4039,3846.3,3603.9,4869.1,4434
"Slit2",561.2,621.9,587.2,678.1,747.8,610.6,665,894.9,803.1
"Ephb3",298.9,304,294.8,280.1,327,250.1,240.7,303.3,285.7
"Robo1",10988.5,11311.7,10118.9,10585.9,12117.6,10853.5,11714.9,14827.8,12990.8
"Plxna1",10110,9980,8988.3,9494.3,10453.1,9388.5,9173.5,12533.7,10759.7
"Robo2",10632,10859.4,9731.7,10092.4,11027.1,10124.6,9637,12310.5,10940.4
"Ephb1",6222.9,6698.2,6228.8,6011.9,6669.2,6208.9,6272.4,7244.2,6965.9
"Nfib",7692.6,7594.4,6800.1,7402.5,8047.3,7529,7401.2,9310.8,7868.6
"Unc5d",1039.9,1011.5,934.6,958.7,1031,979.7,903.2,1147.1,985.2
"Arhgap35",21234.9,21813.4,20295.7,21099.9,22052.5,21188.3,21300.4,24633,22995
"Epha4",8353.2,8202.4,7732.5,8254.9,8393.4,7716,7949.3,9842.5,8746.8
"Reln",2284.7,2203.5,1792.1,1571.2,1820.9,1702.3,1596.9,3376.7,2491.4
"Celsr3",9752.4,9494.9,8340.3,8789.8,10014.9,9220.2,8917.8,13558.6,11399.1
"Zmiz1",15846.6,16007.9,13904.2,14887.8,17196.4,15318.3,13126.9,18828.6,17577.5
"Fzd3",2030.1,2066.4,1884.1,1934.5,2326.5,2095.2,2062.3,2709.2,2363.5
"Lhx6",198.7,215.1,198.7,155.8,192,179,156,185.6,207.5
"Cxcr4",466.1,570.8,459.3,368.6,400.9,353.8,390.6,430.3,438.3
"Ntrk2",10141,10041.1,9063.6,9718.3,10789.9,10367.2,9134.5,11438.2,10303.8
"Gli3",794.5,790.6,823.5,727,899.9,749,564.9,622.2,722.1
"Chl1",8294.6,8331.1,7666.4,7780.5,8152.5,7520.3,8457.6,10310.3,9184.7
"L1cam",18689.6,18049.7,16527.1,18719.4,19355.8,16984.8,17884.7,22504.1,20771.4
"Lmo4",9087.1,9132.2,8854.4,8485.8,9276.2,8129.3,8247.7,9304.9,9316.6
"Myh10",19693.4,19207.6,18556.2,19542.2,19627.7,18264.1,18939.7,23975,21632.8
"Bcl11b",7667.4,7715.2,7323.8,7763,8532.8,8601.2,7932.1,8778.7,8444.4
"Dclk1",31805.4,31132.5,29915.7,30494,31921.3,30625.4,31755.4,36291.5,34780
"Neo1",10096,9860.4,9591.5,10139.7,10171.5,9548.9,10172.9,12123.2,11112.3
"Crkl",5597.9,5937,5673.8,5441.9,5882.7,5722.8,6094.3,5922.5,5788.5
"Dcx",95640.5,95459.9,90785.5,93253.3,93713.6,94524,100576.5,110856.8,100676.4
"Tenm4",2967.5,3145.9,2339.7,2334,3494.3,3019.2,2124.2,5173.9,3627.6
"Hspg2",142.8,125.3,95,89.8,157,107.4,87.5,212.5,146.7
"Ank3",6469.3,6723,5658.5,5217.2,7351.9,6582.2,5421.3,11037.2,8466.3
"Lrp2",70.3,83.6,89.4,57.2,75.4,79.6,75.1,133,89.7
"Erbb4",495.6,548.9,424.7,451.3,566.8,443.7,426.5,763.8,600.1
"Lama5",143.8,179.6,141.8,154,186.5,174.1,115.2,184.5,233.8
"Epha6",52.8,86.4,56.4,40.8,51.6,60.4,55.1,60.9,62.9
"Lrp1",7079.5,6653.1,5785.2,6304.1,7522.4,6699.1,5947.8,12597.5,9272.2
"Trio",8956.3,9154.4,7808.4,8111.4,10178.9,9068.9,8124.6,12440,10433.4
"Slit3",159.4,220.1,202.8,217.2,250.3,220.2,273.7,335.5,260.7
"Nfasc",9406.4,9874.6,8529,8651.9,10656.4,9653.9,8532.6,12399.2,10763.9
"Tenm2",9703.9,9203.7,7980.1,7876.4,9321,7561.5,7878.2,13095.1,10053
"Bmpr2",3293,3424.5,2915.3,3494.3,3999,3635.4,3148,4533.8,3768.8
"Slit1",2428.4,2623.8,2142.1,2333.2,2695.5,2339.7,2265.1,3108,2799.3
"Tenm3",7325.2,6939.8,6349.6,5701.9,6738.5,6335.1,5768.9,8793.4,7176.4
"Kalrn",5552.3,5570.6,4959.2,5415.7,5990.5,5711.9,5180.1,7934,6792.8
"Spg11",1199.2,1228.5,1101,1258.3,1413.9,1317.8,1124,1606.8,1498.1
"Dlx5",109.7,158.9,132.9,123.8,152.2,134,140,128.6,126.9
"Sema5a",885,984.4,798.5,860.3,895.5,808.8,648.6,887.8,837.4
"Dscaml1",918.8,961,814.1,862.3,982.5,889.2,811.3,1060.7,1006.6
"Szt2",1527.9,1428.1,1275.4,1412.3,1576.8,1294.2,1324,1956.6,1631.3
"Unc5c",528.3,485.5,472.6,483.7,544.8,477.5,465.9,674.9,553.8
"Megf8",3891.4,3853,3707.6,5342.8,6084.3,5484.2,3882.7,5158.6,4910.5
"Ark2c",1938.3,2093.8,1788.1,1825.2,2113.5,1908.5,2145.8,2453.8,2259.6
"Mdga2",823.1,857.8,841.6,933.1,993.5,944.5,866.5,1109.4,938.5
"Taok1",2157.9,2269.7,2027.5,2109,2321.3,2280.9,2309.5,2838.9,2337.1
"Met",887.9,873.2,871.6,767.4,895.9,764.7,766.8,948.4,804.3
"Map2",65745.2,68857.1,60708.5,64789.3,68334.9,68282,66351.8,84553.6,75262.4
"Klf7",3780.2,3928.6,3342.6,3614,4054.2,3604.6,3864.7,4580.4,4203.1
"Ptprj",1534.5,1690.4,1462.5,1474.2,1603.3,1394,1598.3,1794.1,1608.7
"Zswim6",2090.2,2203.4,1899,2074.1,2188.5,1879.9,1972.2,2396.3,2186.6
"Sptbn4",2779,2782.7,2561.1,2740.9,2898.8,2687.9,2815.4,3569,3231.6
"Ephb2",7035.5,7163,6500.6,6664.9,7159.3,6820.1,6998.2,8560.5,7818.2
"Mdga1",6114.6,6167,5454.1,5719.4,6382.7,5999.3,5954.4,7077.2,6637.9
"Prkca",1112.1,1103.2,1049.3,1067.2,1190.9,1080.1,1284.8,1537.7,1375.8
"Rtn4r",1794.3,2036.7,1883.8,1797,1893.8,1965.5,1824.4,2023.9,2047.1
"Diaph1",2592.3,2762.7,2537.3,2610.6,2661.2,2522.7,2517.7,2920.9,2719.2
"Dscam",1748.4,1741.6,1557.9,1627,1693.3,1610.9,1549.3,1883.9,1706.6
"Efnb1",5092.8,5441.7,5237.3,5119.9,5539.1,5475.4,4850.1,5230.9,5041.1
"Enah",3908.9,3869.7,3491.1,3396.4,3817.9,3640.1,3816.3,4243,3972.7
"Ptch1",740.5,690.7,686.4,704.3,800.6,725.6,665.4,769,622.6
"Chrnb2",1935.6,1967.3,1842.4,1932.3,2123.1,1962.2,2072,2270.3,2143.3
"Atp7a",846.3,860,816,772.4,826.1,679.4,839.8,939.9,818.3
"Cdh4",3456.5,3441.8,3325.7,3674.2,4043.6,3930.9,3805.9,4230.9,4226
"Epha7",1503.9,1628.3,1544.7,1517.6,1519.5,1466.7,1587.5,1765.6,1491
"Vangl2",4128.1,4285.5,3993.1,3871.6,4269.8,3958.7,4120.3,4321.7,4233.4
"Cyfip2",14949.8,15063,13842.2,14759.9,15351.1,15276.8,14284.8,16322.2,15847.1
"Sema4c",3732.2,3923.2,3634,3688,3974.8,3758,3882.4,4082.3,4016.1
"Ncam1",41113,39444,36962,37178.3,38600.6,37500.5,39190.4,46927.8,44036.7
"Lingo1",5952.3,6203.1,5929.5,6044.2,6323.9,6025,5720.2,6208.3,6569
"Sema6a",1339.9,1374.7,1247.3,1253.7,1370.4,1214.1,1283.6,1347.6,1394.9
"Zeb2",9332.7,9427.7,8346.3,8731.3,9342.5,8661.8,8688.5,9469.8,8642.2
"Psen1",1969.5,1972.5,1933.4,1915.1,2020.5,1955.9,2016.6,2217.1,1978.9
"Nectin1",4536.3,4721.1,4234.5,4346.7,4528.3,4315.2,4611.9,4922.6,4631.4
"Epha5",14454.6,14675.1,13761.2,13636,13771.2,13824,15155.2,16897.6,15186
"Ctnnb1",14308,14959,14337.8,14608.2,14884.7,14465.4,13374.1,14347.1,14092.2
"Tbr1",4820.3,4838,4564.1,4900.2,4941.7,4816.8,4743.7,5297.2,5041.4
"Nell2",31942.4,32067.6,30807.7,30145.8,31894,30951.9,32352.5,34090.7,32996
