"gene","n_path","baseMean","L2FC_5v0","padj_5v0","L2FC_15v0","padj_15v0","L2FC_15v5","padj_15v5"
"Cntn2",5,15129,0.255,0.0139,0.037,1,-0.218,0.192
"Nrp1",5,6210,0.14,0.205,-0.018,1,-0.158,0.382
"Dcc",5,2824,0.363,0.326,0.064,1,-0.298,1
"Rac1",5,15589,0.102,0.379,0.064,1,-0.038,1
"Nrp2",5,2488,0.163,0.387,0.014,1,-0.149,1
"Robo1",4,11723,0.191,0.0759,0.021,1,-0.17,0.452
"Nova2",4,3985,0.246,0.115,0.096,1,-0.15,1
"Ephb1",4,6502,0.154,0.127,0.067,1,-0.088,1
"Robo2",4,10595,0.169,0.21,0.018,1,-0.151,0.82
"Mycbp2",4,9152,0.563,0.293,0.303,1,-0.259,1
"Nfib",4,7739,0.144,0.443,-0.023,1,-0.167,0.696
"Plxna4",4,5950,0.46,0.478,0.138,1,-0.321,1
"Arhgap35",4,21846,0.104,0.478,0.017,1,-0.087,1
"Slit2",4,686,0.238,0.52,0.062,1,-0.176,1
"Plxna1",4,10098,0.187,0.828,0.011,1,-0.177,1
"Epha4",4,8355,0.101,0.838,-0.026,1,-0.127,1
"Unc5d",4,999,0.136,0.919,-0.001,1,-0.137,1
"Ephb3",4,287,0.192,0.999,0.021,1,-0.17,1
"Fzd3",3,2164,0.228,0.167,0.067,1,-0.161,1
"Ntrk2",3,10111,0.152,0.387,0.033,1,-0.118,1
"Chl1",3,8411,0.119,0.56,-0.016,1,-0.135,0.935
"Bcl11b",3,8084,0.097,0.71,0.058,1,-0.039,1
"Lmo4",3,8870,0.103,0.73,0.026,1,-0.077,1
"Zmiz1",3,15855,0.241,0.767,0.086,1,-0.154,1
"Myh10",3,19938,0.102,0.847,0,1,-0.102,1
"Dclk1",3,32080,0.075,0.891,0.016,1,-0.06,1
"Celsr3",3,9943,0.245,0.91,0.058,1,-0.187,1
"Cxcr4",3,431,0.187,0.913,0.03,1,-0.158,1
"Reln",3,2093,0.396,0.919,0.111,1,-0.286,1
"Gli3",3,744,0.149,0.959,0.15,1,0.001,1
"Neo1",3,10313,0.074,0.978,-0.013,1,-0.086,1
"Lhx6",3,188,0.22,0.999,0.204,1,-0.017,1
"L1cam",3,18832,0.106,0.999,-0.037,1,-0.143,1
"Crkl",3,5785,0.052,0.999,0.005,1,-0.046,1
"Dcx",3,97276,0.049,0.999,-0.018,1,-0.067,1
"Bmpr2",2,3579,0.257,0.112,0.044,1,-0.213,0.696
"Slit1",2,2526,0.256,0.127,0.042,1,-0.214,0.711
"Erbb4",2,525,0.432,0.141,0.076,1,-0.356,0.805
"Map2",2,69209,0.164,0.21,0.046,1,-0.117,1
"Megf8",2,4702,0.192,0.297,0.1,1,-0.092,1
"Ark2c",2,2059,0.172,0.313,0.009,1,-0.164,0.846
"Klf7",2,3886,0.155,0.348,-0.02,1,-0.174,0.631
"Taok1",2,2295,0.171,0.387,0.014,1,-0.157,1
"Spg11",2,1305,0.236,0.394,0.117,1,-0.119,1
"Ephb2",2,7191,0.139,0.394,0.025,1,-0.114,1
"Nfasc",2,9830,0.299,0.404,0.113,1,-0.186,1
"Mdga1",2,6167,0.139,0.46,0.02,1,-0.119,1
"Ank3",2,6992,0.513,0.476,0.245,1,-0.268,1
"Efnb1",2,5225,0.106,0.478,0.064,1,-0.042,1
"Tenm4",2,3136,0.628,0.527,0.241,1,-0.386,1
"Dscaml1",2,923,0.21,0.567,0.06,1,-0.15,1
"Trio",2,9364,0.319,0.59,0.102,1,-0.217,1
"Ptprj",2,1573,0.143,0.592,-0.047,1,-0.189,0.696
"Rtn4r",2,1919,0.137,0.606,0.122,1,-0.014,1
"Sema5a",2,845,0.216,0.635,0.039,1,-0.177,1
"Sptbn4",2,2896,0.141,0.639,0.016,1,-0.124,1
"Zswim6",2,2099,0.143,0.643,-0.044,1,-0.188,0.785
"Szt2",2,1492,0.203,0.654,-0.035,1,-0.239,1
"Slit3",2,238,0.314,0.689,0.09,1,-0.224,1
"Lama5",2,168,0.413,0.721,0.4,1,-0.014,1
"Mdga2",2,923,0.171,0.73,0.054,1,-0.116,1
"Diaph1",2,2649,0.111,0.754,0.01,1,-0.101,1
"Met",2,842,0.169,0.785,0.012,1,-0.157,1
"Vangl2",2,4131,0.088,0.818,0.008,1,-0.08,1
"Prkca",2,1200,0.137,0.828,0.012,1,-0.126,1
"Enah",2,3795,0.101,0.833,-0.002,1,-0.103,1
"Cyfip2",2,15077,0.086,0.833,0.029,1,-0.057,1
"Zeb2",2,8960,0.079,0.833,-0.06,1,-0.139,0.544
"Cdh4",2,3793,0.095,0.838,0.065,1,-0.03,1
"Sema4c",2,3855,0.084,0.865,0.013,1,-0.071,1
"Tenm3",2,6792,0.253,0.883,0.079,1,-0.174,1
"Kalrn",2,5901,0.25,0.891,0.094,1,-0.155,1
"Ctnnb1",2,14375,0.064,0.891,0.021,1,-0.043,1
"Tenm2",2,9186,0.292,0.895,-0.009,1,-0.301,1
"Chrnb2",2,2028,0.097,0.905,0,1,-0.097,1
"Lrp1",2,7540,0.4,0.907,0.119,1,-0.281,1
"Unc5c",2,521,0.195,0.907,0.019,1,-0.176,1
"Lingo1",2,6108,0.081,0.916,0.064,1,-0.017,1
"Ncam1",2,40106,0.083,0.919,0.007,1,-0.076,1
"Dscam",2,1680,0.11,0.924,-0.015,1,-0.125,1
"Epha5",2,14596,0.065,0.938,-0.016,1,-0.081,1
"Nell2",2,31916,0.054,0.938,0.005,1,-0.049,1
"Nectin1",2,4539,0.07,0.942,-0.034,1,-0.105,1
"Ptch1",2,712,0.099,0.999,-0.053,1,-0.153,1
"Atp7a",2,822,0.095,0.999,-0.091,1,-0.186,1
"Epha7",2,1558,0.09,0.999,-0.034,1,-0.124,1
"Sema6a",2,1314,0.079,0.999,-0.009,1,-0.087,1
"Psen1",2,1998,0.073,0.999,-0.007,1,-0.08,1
"Tbr1",2,4885,0.059,0.999,-0.006,1,-0.064,1
"Hspg2",2,129,0.605,NA,0.105,1,-0.5,1
"Lrp2",2,84,0.506,NA,0.364,1,-0.142,1
"Epha6",2,59,0.412,NA,0.287,1,-0.125,1
"Dlx5",2,134,0.233,NA,0.074,1,-0.159,1
